Sex,Year,Sport,Event,Medal,Region
M,1920,Aquatics,Diving Men's Platform,Bronze,USA
M,1920,Aquatics,Diving Men's Platform,Gold,USA
M,1920,Aquatics,Diving Men's Springboard,Bronze,USA
M,1920,Aquatics,Diving Men's Springboard,Gold,USA
M,1920,Aquatics,Diving Men's Springboard,Silver,USA
F,1920,Aquatics,Diving Women's Plain High,Silver,UK
F,1920,Aquatics,Diving Women's Springboard,Bronze,USA
F,1920,Aquatics,Diving Women's Springboard,Gold,USA
F,1920,Aquatics,Diving Women's Springboard,Silver,USA
M,1920,Aquatics,Rowing Men's Coxed Eights,Gold,USA
M,1920,Aquatics,Rowing Men's Coxed Eights,Silver,UK
M,1920,Aquatics,Rowing Men's Coxed Fours,Silver,USA
M,1920,Aquatics,Rowing Men's Coxed Pairs,Silver,France
M,1920,Aquatics,Rowing Men's Double Sculls,Bronze,France
M,1920,Aquatics,Rowing Men's Double Sculls,Gold,USA
M,1920,Aquatics,Rowing Men's Single Sculls,Gold,USA
M,1920,Aquatics,Rowing Men's Single Sculls,Silver,UK
M,1920,Aquatics,Sailing Mixed 6.5 metres,Silver,France
F,1920,Aquatics,Sailing Mixed 7 metres,Gold,UK
M,1920,Aquatics,Sailing Mixed 7 metres,Gold,UK
M,1920,Aquatics,"Swimming Men's 1,500 metres Freestyle",Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Backstroke,Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Backstroke,Silver,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Bronze,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Silver,USA
M,1920,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,UK
M,1920,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,USA
M,1920,Aquatics,Swimming Men's 400 metres Freestyle,Gold,USA
M,1920,Aquatics,Swimming Men's 400 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Bronze,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Gold,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Bronze,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Gold,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
F,1920,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,UK
M,1920,Athletics,"Athletics Men's 1,500 metres",Bronze,USA
M,1920,Athletics,"Athletics Men's 1,500 metres",Gold,UK
M,1920,Athletics,"Athletics Men's 1,500 metres",Silver,UK
M,1920,Athletics,Athletics Men's 10 kilometres Walk,Bronze,UK
M,1920,Athletics,Athletics Men's 10 kilometres Walk,Silver,USA
M,1920,Athletics,"Athletics Men's 10,000 metres",Bronze,UK
M,1920,Athletics,"Athletics Men's 10,000 metres",Silver,France
M,1920,Athletics,Athletics Men's 100 metres,Bronze,UK
M,1920,Athletics,Athletics Men's 100 metres,Gold,USA
M,1920,Athletics,Athletics Men's 100 metres,Silver,USA
M,1920,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
M,1920,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
M,1920,Athletics,Athletics Men's 200 metres,Bronze,UK
M,1920,Athletics,Athletics Men's 200 metres,Gold,USA
M,1920,Athletics,Athletics Men's 200 metres,Silver,USA
M,1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,UK
