track,artist,release,track_score,spotify_streams,spotify_playlists,spotify_reach,apple_playlists,genre
Not Like Us,Kendrick Lamar,5/4/2024,545.9,323703884,28113,174597137,188.0,Pop
LUNCH,Billie Eilish,5/17/2024,316.3,221636195,13800,197280692,244.0,Pop
Like That,Future,3/22/2024,308.2,355186436,43025,108168634,153.0,Pop
Fortnight (feat. Post Malone),Taylor Swift,4/18/2024,297.6,395433400,12784,177932568,221.0,Hip-Hop
BLUE,Billie Eilish,5/17/2024,292.6,91272461,6499,52287548,76.0,Indie
we can't be friends (wait for your love),Ariana Grande,3/8/2024,262.8,591068364,26203,197494995,194.0,Hip-Hop
BIRDS OF A FEATHER,Billie Eilish,5/17/2024,212.8,214237645,10871,202626837,247.0,Indie
euphoria,Kendrick Lamar,4/30/2024,202.1,168434320,17168,62516401,65.0,Hip-Hop
Shape of You,Ed Sheeran,1/6/2017,195.1,3909458734,316378,148037882,465.0,R&B
Blinding Lights,The Weeknd,11/29/2019,194.0,4281468720,590392,165544011,859.0,Hip-Hop
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,177.6,891720245,114560,97542546,168.0,Pop
CHIHIRO,Billie Eilish,5/17/2024,167.8,169410711,11028,144854768,185.0,Pop
Perfect,Ed Sheeran,3/3/2017,167.5,2969999682,280165,116921604,208.0,R&B
Anti-Hero,Taylor Swift,10/21/2022,161.8,1563224246,117005,97456780,261.0,Folk
Type Shit,Future,3/22/2024,148.1,205206688,28064,84737651,99.0,Pop
WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,141.0,787155930,183850,58397185,150.0,Pop
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,3/19/2021,125.2,1612286123,282719,97390961,348.0,Pop
Family Matters,Drake,5/3/2024,122.7,72335127,8696,36774031,38.0,Pop
Bad Habits,Ed Sheeran,1/1/2020,120.8,1754311538,271758,62218811,454.0,Indie
bad guy,Billie Eilish,3/29/2019,117.7,2516804300,296739,113315017,432.0,Hip-Hop
Eyes Closed,Ed Sheeran,3/23/2023,116.6,372423476,44730,21933393,132.0,Pop
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,10/6/2023,113.2,372248119,68037,44498005,53.0,Hip-Hop
IDGAF (feat. Yeat),Drake,10/6/2023,110.8,406875019,85930,45178662,29.0,Hip-Hop
Life Is Good (feat. Drake),Future,1/10/2020,110.2,1237874594,276882,51153940,187.0,Pop
Jimmy Cooks (feat. 21 Savage),Drake,6/17/2022,109.7,971473231,239671,77479207,110.0,Pop
"yes, and?",Ariana Grande,1/12/2024,107.5,416813996,22468,101875097,106.0,Hip-Hop
meet the grahams,Kendrick Lamar,5/3/2024,107.3,65520394,8933,15896982,13.0,Pop
First Person Shooter (feat. J. Cole),Drake,10/6/2023,107.1,328526298,72252,68612350,54.0,Hip-Hop
Push Ups,Drake,4/19/2024,103.9,107762230,14601,74447627,42.0,Pop
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,100.2,406821432,20404,26073555,38.0,Folk
Starboy,The Weeknd,9/22/2016,95.7,3291262413,366133,98022646,341.0,R&B
Sorry,Justin Bieber,10/23/2015,95.7,2089476497,179545,89286647,401.0,R&B
I Can Do It With a Broken Heart,Taylor Swift,4/18/2024,95.0,250430303,7079,134357870,72.0,Folk
7 rings,Ariana Grande,1/18/2019,93.9,2262490403,179865,89518199,220.0,Pop
God's Plan,Drake,1/20/2018,92.9,2529948475,313741,79266167,226.0,Hip-Hop
Ghost,Justin Bieber,3/19/2021,91.5,1586830204,151923,73574395,119.0,Pop
Cinderella,Future,3/22/2024,87.2,124945674,21581,41881780,24.0,Pop
Rich Flex,Drake,11/4/2022,85.5,812274757,185579,57165405,116.0,Pop
Search & Rescue,Drake,4/7/2023,84.6,337858357,96709,21646810,89.0,Pop
Shivers,Ed Sheeran,1/1/2020,84.4,1568058093,188855,77441110,263.0,Pop
Knife Talk (with 21 Savage ft. Project Pat),Drake,9/3/2021,82.1,732652170,217189,35225322,67.0,R&B
Lï¿½ï¿½ï¿½AMOUR DE,Billie Eilish,5/17/2024,81.6,84575291,5186,51449432,95.0,Indie
WILDFLOWER,Billie Eilish,5/17/2024,80.8,100838516,5188,50795354,76.0,Folk
positions,Ariana Grande,10/23/2020,80.0,1432830108,139215,53934095,283.0,R&B
Save Your Tears,The Weeknd,3/20/2020,79.9,1995511952,304456,63126296,285.0,R&B
Happier Than Ever,Billie Eilish,7/30/2021,79.9,1321878145,189487,51228803,199.0,R&B
The Hills,The Weeknd,5/27/2015,77.5,2306740926,333310,91689799,178.0,R&B
SKINNY,Billie Eilish,5/17/2024,77.3,77212437,4083,13850203,52.0,Folk
Cruel Summer,Taylor Swift,8/23/2019,72.8,2188247133,121479,201964859,273.0,R&B
Blank Space,Taylor Swift,1/1/2014,71.5,1829733410,157465,49558504,154.0,Folk
HUMBLE.,Kendrick Lamar,3/31/2017,71.4,2226869580,311766,77191099,357.0,Hip-Hop
Toosie Slide,Drake,4/3/2020,68.7,1059262917,200623,36388485,146.0,Hip-Hop
Down Bad,Taylor Swift,4/18/2024,68.7,210385853,5179,38317286,92.0,Folk
"thank u, next",Ariana Grande,11/3/2018,68.0,1878196824,134913,54753824,238.0,Pop
One Dance,Drake,4/4/2016,67.9,3192204066,379853,131832723,550.0,Hip-Hop
Intentions (feat. Quavo),Justin Bieber,2/7/2020,67.5,1177960398,124387,38596274,250.0,Pop
Love Yourself,Justin Bieber,11/9/2015,66.8,2423583406,221550,85152861,287.0,R&B
Way 2 Sexy (with Future & Young Thug),Drake,9/3/2021,64.7,559759920,159492,30567448,102.0,R&B
PUFFIN ON ZOOTIEZ,Future,4/29/2022,64.3,395167576,135307,21175776,31.0,Pop
Yummy,Justin Bieber,1/3/2020,63.2,792379282,96177,23338709,171.0,Pop
Shake It Off,Taylor Swift,1/1/2014,62.3,1409692678,162649,73697294,301.0,Folk
We Don't Trust You,Future,3/22/2024,61.7,68542565,13345,6655318,12.0,Pop
Call Out My Name,The Weeknd,3/29/2018,61.6,1780889877,229909,75001452,121.0,R&B
THE GREATEST,Billie Eilish,5/17/2024,61.5,74533081,4192,13299713,60.0,Folk
Mask Off,Future,1/1/2017,61.3,1596770801,281838,66110271,220.0,Indie
Young Metro,Future,3/22/2024,61.3,69705399,13782,24255616,7.0,Pop
Laugh Now Cry Later (feat. Lil Durk),Drake,8/14/2020,59.6,962634706,222576,40254416,170.0,Pop
Side To Side,Ariana Grande,4/1/2016,58.6,1427792654,120921,38322144,128.0,R&B
Slime You Out (feat. SZA),Drake,9/15/2023,57.9,202169670,54946,23594885,29.0,Hip-Hop
Therefore I Am,Billie Eilish,11/12/2020,57.9,805133547,132298,34341587,229.0,Indie
Fair Trade (with Travis Scott),Drake,9/3/2021,57.6,819136167,220374,42648915,67.0,R&B
34+35,Ariana Grande,10/30/2020,56.8,978617707,97191,40917688,109.0,Pop
I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,56.5,1816356140,156748,74047669,46.0,Folk
the boy is mine,Ariana Grande,3/8/2024,56.0,175336290,8386,79812251,46.0,Hip-Hop
In My Feelings,Drake,6/29/2018,55.4,1389607643,179820,36937605,144.0,Hip-Hop
You Broke My Heart,Drake,10/6/2023,55.4,123522254,26849,21166663,25.0,Pop
THE DINER,Billie Eilish,5/17/2024,54.7,66101468,3693,9878576,45.0,Indie
when the party's over,Billie Eilish,10/17/2018,54.7,1845938685,186633,79124996,163.0,Folk
I Feel It Coming,The Weeknd,11/17/2016,53.6,1749088490,193568,52373071,298.0,Pop
We Still Don't Trust You,Future,4/12/2024,53.4,64193671,9077,15569468,31.0,Pop
Spin Bout U,Drake,11/4/2022,52.6,356685934,88034,16963292,37.0,Pop
Can't Feel My Face,The Weeknd,3/2/2015,52.6,1747534539,212829,101243254,433.0,R&B
Whoï¿½ï¿½ï¿½s Afraid of Little O,Taylor Swift,4/18/2024,52.3,166168092,5004,25607992,38.0,Indie
Massive,Drake,6/17/2022,51.7,253114498,111173,20965015,57.0,Pop
