track,artist,release,track_score,spotify_streams,spotify_playlists,spotify_reach,apple_playlists,genre
Not Like Us,Kendrick Lamar,5/4/2024,545.9,323703884,28113,174597137,188,Pop
Fortnight (feat. Post Malone),Taylor Swift,4/18/2024,297.6,395433400,12784,177932568,221,Hip-Hop
BLUE,Billie Eilish,5/17/2024,292.6,91272461,6499,52287548,76,Indie
we can't be friends (wait for your love),Ariana Grande,3/8/2024,262.8,591068364,26203,197494995,194,Hip-Hop
BIRDS OF A FEATHER,Billie Eilish,5/17/2024,212.8,214237645,10871,202626837,247,Indie
euphoria,Kendrick Lamar,4/30/2024,202.1,168434320,17168,62516401,65,Hip-Hop
Shape of You,Ed Sheeran,1/6/2017,195.1,3909458734,316378,148037882,465,R&B
Blinding Lights,The Weeknd,11/29/2019,194.0,4281468720,590392,165544011,859,Hip-Hop
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,177.6,891720245,114560,97542546,168,Pop
Perfect,Ed Sheeran,3/3/2017,167.5,2969999682,280165,116921604,208,R&B
Anti-Hero,Taylor Swift,10/21/2022,161.8,1563224246,117005,97456780,261,Folk
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,3/19/2021,125.2,1612286123,282719,97390961,348,Pop
Bad Habits,Ed Sheeran,1/1/2020,120.8,1754311538,271758,62218811,454,Indie
bad guy,Billie Eilish,3/29/2019,117.7,2516804300,296739,113315017,432,Hip-Hop
Eyes Closed,Ed Sheeran,3/23/2023,116.6,372423476,44730,21933393,132,Pop
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,10/6/2023,113.2,372248119,68037,44498005,53,Hip-Hop
IDGAF (feat. Yeat),Drake,10/6/2023,110.8,406875019,85930,45178662,29,Hip-Hop
"yes, and?",Ariana Grande,1/12/2024,107.5,416813996,22468,101875097,106,Hip-Hop
meet the grahams,Kendrick Lamar,5/3/2024,107.3,65520394,8933,15896982,13,Pop
First Person Shooter (feat. J. Cole),Drake,10/6/2023,107.1,328526298,72252,68612350,54,Hip-Hop
Push Ups,Drake,4/19/2024,103.9,107762230,14601,74447627,42,Pop
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,100.2,406821432,20404,26073555,38,Folk
Starboy,The Weeknd,9/22/2016,95.7,3291262413,366133,98022646,341,R&B
Sorry,Justin Bieber,10/23/2015,95.7,2089476497,179545,89286647,401,R&B
I Can Do It With a Broken Heart,Taylor Swift,4/18/2024,95.0,250430303,7079,134357870,72,Folk
7 rings,Ariana Grande,1/18/2019,93.9,2262490403,179865,89518199,220,Pop
God's Plan,Drake,1/20/2018,92.9,2529948475,313741,79266167,226,Hip-Hop
Ghost,Justin Bieber,3/19/2021,91.5,1586830204,151923,73574395,119,Pop
Rich Flex,Drake,11/4/2022,85.5,812274757,185579,57165405,116,Pop
Shivers,Ed Sheeran,1/1/2020,84.4,1568058093,188855,77441110,263,Pop
Knife Talk (with 21 Savage ft. Project Pat),Drake,9/3/2021,82.1,732652170,217189,35225322,67,R&B
Lï¿½ï¿½ï¿½AMOUR DE,Billie Eilish,5/17/2024,81.6,84575291,5186,51449432,95,Indie
WILDFLOWER,Billie Eilish,5/17/2024,80.8,100838516,5188,50795354,76,Folk
positions,Ariana Grande,10/23/2020,80.0,1432830108,139215,53934095,283,R&B
Save Your Tears,The Weeknd,3/20/2020,79.9,1995511952,304456,63126296,285,R&B
Happier Than Ever,Billie Eilish,7/30/2021,79.9,1321878145,189487,51228803,199,R&B
The Hills,The Weeknd,5/27/2015,77.5,2306740926,333310,91689799,178,R&B
